timestamp,user_id,attribute_gender,text
2024-01-01 10:00:00,user_001,M,最近プログラミングの勉強を始めたんだ。Pythonが楽しい。
2024-01-01 10:05:00,user_002,F,えーすごい！私は最近カフェ巡りにはまってるよ。
2024-01-01 10:10:00,user_001,M,カフェか、いいね。仕事の合間にコーヒー飲むのは好きだな。
2024-01-01 10:15:00,user_002,F,美味しいランチのお店も見つけたの。今度行こうよ。
2024-01-01 10:20:00,user_001,M,いいね、行こう。来週の天気はどうかな？
2024-01-01 10:25:00,user_002,F,予報だと晴れるみたいだよ。楽しみだね！
2024-01-02 09:00:00,user_003,M,昨日のサッカーの試合見た？すごかったね。
2024-01-02 09:10:00,user_004,M,見た見た！あのゴールは痺れたわ。
2024-01-02 09:20:00,user_005,F,私は映画見てたな。泣けるドラマだったよ。
2024-01-02 09:30:00,user_003,M,映画もいいね。最近PCゲームばかりしてるからたまには映画も見ようかな。
2024-01-03 12:00:00,user_006,F,新しい服買ったんだ。今の季節にぴったりなファッションで。
2024-01-03 12:10:00,user_002,F,いいなー、私もショッピング行きたい。
2024-01-03 12:20:00,user_001,M,休日は家でコード書くのが一番落ち着くな。
2024-01-03 12:30:00,user_006,F,えー、たまには外に出なよ（笑）
2024-01-03 12:40:00,user_001,M,まあね。でも技術書読んでる時間が幸せなんだ。
2024-01-03 13:00:00,user_007,F,旅行の計画立ててるの。北海道に行きたいな。
2024-01-03 13:10:00,user_004,M,北海道いいな！美味しいもの多そうだね。
2024-01-03 13:20:00,user_007,F,そうなの！海鮮丼とかラーメンとか。
2024-01-03 13:30:00,user_002,F,話題変わるけど、明日会議だっけ？
2024-01-03 13:40:00,user_001,M,そうだよ。資料作らなきゃ。仕事モードに戻らないと。
